# TKL Keyboard Matrix - REALISTIC 8x14 for nRF52832
# Total: 8 rows × 14 columns = 112 positions (enough for TKL + numpad)
# Matrix uses 22 GPIOs, leaving 10 for peripherals

# GPIO Assignment:
# Rows: P0.03-P0.10 (8 pins)
# Cols: P0.11-P0.21, P0.22, P0.23, P0.24 (14 pins)
# I2C: P0.26, P0.27
# Battery: P0.29
# VBUS: P0.02
# Trackpad INT: P0.28
# LED: P0.30
# UART: P0.25 (TX), P0.31 (RX) - if needed

# Row 0 - Function row
0,0,ESC,Escape
0,1,F1,F1
0,2,F2,F2
0,3,F3,F3
0,4,F4,F4
0,5,F5,F5
0,6,F6,F6
0,7,F7,F7
0,8,F8,F8
0,9,F9,F9
0,10,F10,F10
0,11,F11,F11
0,12,F12,F12
0,13,DEL,Delete

# Row 1 - Number row
1,0,GRAVE,Grave
1,1,KP_1,1
1,2,KP_2,2
1,3,KP_3,3
1,4,KP_4,4
1,5,KP_5,5
1,6,KP_6,6
1,7,KP_7,7
1,8,KP_8,8
1,9,KP_9,9
1,10,KP_0,0
1,11,MINUS,Minus
1,12,EQUAL,Equal
1,13,BKSP,Backspace

# Row 2 - QWERTY row
2,0,TAB,Tab
2,1,Q,Q
2,2,W,W
2,3,E,E
2,4,R,R
2,5,T,T
2,6,Y,Y
2,7,U,U
2,8,I,I
2,9,O,O
2,10,P,P
2,11,LBKT,Left Bracket
2,12,RBKT,Right Bracket
2,13,BSLS,Backslash

# Row 3 - Home row
3,0,CAPS,Caps Lock
3,1,A,A
3,2,S,S
3,3,D,D
3,4,F,F
3,5,G,G
3,6,H,H
3,7,J,J
3,8,K,K
3,9,L,L
3,10,SEMICOLON,Semicolon
3,11,QUOTE,Quote
3,12,RET,Enter

# Row 4 - Modifier row
4,0,LSHIFT,Left Shift
4,1,Z,Z
4,2,X,X
4,3,C,C
4,4,V,V
4,5,B,B
4,6,N,N
4,7,M,M
4,8,COMMA,Comma
4,9,DOT,Period
4,10,FSLASH,Slash
4,11,RSHIFT,Right Shift
4,12,UP,Up

# Row 5 - Space row
5,0,LCTRL,Left Ctrl
5,1,LGUI,Left Win
5,2,LALT,Left Alt
5,3,SPACE,Space
5,4,RALT,Right Alt
5,5,RGUI,Right Win
5,6,MENU,Menu
5,7,RCTRL,Right Ctrl
5,8,LEFT,Left
5,9,DOWN,Down
5,10,RIGHT,Right

# Row 6 - Numpad top
6,0,NLCK,Num Lock
6,1,KPSLS,Num /
6,2,KP_ASTERISK,Num *
6,3,KP_MINUS,Num -
6,4,KP_7,Num 7
6,5,KP_8,Num 8
6,6,KP_9,Num 9
6,7,KP_PLUS,Num +
6,8,HOME,Home
6,9,PGUP,Page Up

# Row 7 - Numpad bottom
7,0,KP_0,Num 0
7,1,KP_DOT,Num Dot
7,2,KP_EQUAL,Num Equal
7,3,KP_1,Num 1
7,4,KP_2,Num 2
7,5,KP_3,Num 3
7,6,KP_4,Num 4
7,7,INS,Insert
7,8,END,End
7,9,PGDN,Page Down
